,District Name,CDS Number (District),CAASPP-ELA Standard Exceeded (Level 4) (District),CAASPP-ELA Standard Met (Level 3) (District),CAASPP-ELA Standard Nearly Met (Level 2) (District),CAASPP-ELA Standard Not Met (Level 1) (District),CAASPP-ELA Standard Exceeded or Met (Levels 3 and 4) (District),American Indian or Alaska Native (CAASPP-ELA Levels 3 and 4) (District),Asian (CAASPP-ELA Levels 3 and 4) (District),Black or African American (CAASPP-ELA Levels 3 and 4) (District),Filipino (CAASPP-ELA Levels 3 and 4) (District),Hispanic or Latino (CAASPP-ELA Levels 3 and 4) (District),Native Hawaiian or Pac Islandr (CAASPP-ELA Levels 3 and 4) (District),Two or More Races (CAASPP-ELA Levels 3 and 4) (District),White (CAASPP-ELA Levels 3 and 4) (District),Males (CAASPP-ELA Levels 3 and 4) (District),Females (CAASPP-ELA Levels 3 and 4) (District)
323,Gratton Elementary (Stanislaus),50-71084-0000000,16.9,38.2,31.5,13.5,55.1,redacted,redacted,redacted,redacted,16.7,,redacted,65.2,47.6,61.7
324,Gravenstein Union Elementary (Sonoma),49-70714-0000000,39.1,33.7,16.1,11.2,72.8,,100,redacted,redacted,61.5,,82.5,72.8,67.1,78.2
325,Graves Elementary (Monterey),27-66027-0000000,20.7,31,31,17.2,51.7,,redacted,,,50,redacted,redacted,redacted,50,52.9
326,Green Point Elementary (Humboldt),12-62851-0000000,redacted,redacted,redacted,redacted,redacted,,,,,,,,redacted,redacted,redacted
327,Greenfield Union (Kern),15-63503-0000000,13,29.3,28.2,29.5,42.3,29.2,45.1,28.1,48,43.3,redacted,43.8,44,37.3,47.3
328,Greenfield Union Elementary (Monterey),27-66035-0000000,6.2,16.9,24,53,23.1,,redacted,redacted,redacted,22.7,redacted,redacted,26.9,19.1,27.4
329,Grenada Elementary (Siskiyou),47-70326-0000000,9.2,25,32.5,33.3,34.2,redacted,,redacted,,16.7,,redacted,34.3,31.2,37.3
330,Gridley Unified (Butte),04-75507-0000000,15.6,31.4,27,26,47,redacted,62.5,redacted,,40.6,redacted,redacted,56.1,39.4,54.2
331,Grossmont Union High (San Diego),37-68130-0000000,30.7,34.3,18.8,16.2,65,52,73.7,47.3,85,58,58.3,77.6,69.4,59,71.1
332,Guadalupe Union Elementary (Santa Barbara),42-69203-0000000,2.1,15.6,27.9,54.4,17.7,redacted,,redacted,redacted,17.4,,redacted,redacted,15.1,20.4
333,Guerneville Elementary (Sonoma),49-70722-0000000,16,28.9,23,32.1,44.9,redacted,,redacted,redacted,23.4,,redacted,60.2,43.7,46
334,Gustine Unified (Merced),24-73619-0000000,7.1,23.4,26.5,43,30.5,redacted,redacted,redacted,redacted,27.6,redacted,redacted,45,26,35.2
335,Hacienda la Puente Unified (Los Angeles),19-73445-0000000,21.4,30.5,24.2,23.9,51.9,redacted,78.4,43.2,69.1,46.5,59.4,77.3,64.4,46.6,57.1
336,Hamilton Unified (Glenn),11-76562-0000000,8.9,29.7,26.4,35,38.6,redacted,redacted,redacted,,36.4,,redacted,redacted,34.8,42.2
337,Hanford Elementary (Kings),16-63917-0000000,14,29.2,25,31.8,43.3,26.3,53.7,30.6,84.2,39.9,redacted,53.1,59.3,36.9,49.6
338,Hanford Joint Union High (Kings),16-63925-0000000,20.7,39.1,21.7,18.6,59.8,redacted,71.4,36,redacted,56.8,redacted,redacted,70.9,51.8,68
339,Happy Camp Union Elementary (Siskiyou),47-70334-0000000,4.8,22.6,21,51.6,27.4,16.7,,,,redacted,,redacted,45.5,19.4,35.5
340,Happy Valley Elementary (Santa Cruz),44-69757-0000000,46.5,33.8,15.5,4.2,80.3,redacted,redacted,,,redacted,,90.9,80.8,79.4,81.1
341,Happy Valley Union Elementary (Shasta),45-70011-0000000,10.8,26.8,24.3,38.2,37.5,40,33.3,redacted,redacted,31.2,redacted,16.7,40.7,32.9,42.6
342,Harmony Union Elementary (Sonoma),49-70730-0000000,27.3,27.3,29.2,16.2,54.6,redacted,redacted,redacted,,42.1,,50,59.1,44.6,66.2
343,Hart-Ransom Union Elementary (Stanislaus),50-71092-0000000,14.7,34,28,23.3,48.7,redacted,77.8,38.9,redacted,40,redacted,38.9,55.4,44,53.3
344,Hawthorne (Los Angeles),19-64592-0000000,14.1,26.4,26.7,32.8,40.5,53.9,62.1,35.9,68,40.4,38.7,40.9,51.5,35.3,45.9
345,Hayward Unified (Alameda),01-61192-0000000,11,24.7,25.5,38.9,35.6,42.9,56,27.9,60.3,30.5,32.6,48.5,47.7,30.3,41.1
346,Healdsburg Unified (Sonoma),49-75390-0000000,19.9,28.3,26.7,25.1,48.2,redacted,66.7,redacted,,34.3,redacted,redacted,72.9,42.7,54
347,Heber Elementary (Imperial),13-63131-0000000,19.1,36.8,23.8,20.4,55.9,,,,,55.7,,redacted,redacted,49.1,62.9
348,Helendale Elementary (San Bernardino),36-67736-0000000,14,25.9,23.3,36.8,39.9,redacted,redacted,35.7,redacted,32.6,redacted,52.2,43,34.2,46
349,Hemet Unified (Riverside),33-67082-0000000,11.4,25.5,25.7,37.5,36.9,32.6,65.8,21.1,71.7,32.7,33.3,42.4,47.8,30.8,43.2
350,Hermosa Beach City Elementary (Los Angeles),19-64600-0000000,37.4,36.8,18.6,7.3,74.2,redacted,81.8,redacted,redacted,64.7,redacted,79.7,74.9,69.2,79.8
351,Hesperia Unified (San Bernardino),36-75044-0000000,9.2,23.3,27.2,40.4,32.4,34.3,58.7,24.4,63.6,29.5,64,28.2,42.2,27,38.3
352,Hickman Community Charter (Stanislaus),50-71100-0000000,24.9,35,20,20.1,59.9,redacted,75,redacted,redacted,55.3,redacted,66.7,60.4,52.2,67.9
353,Hillsborough City Elementary (San Mateo),41-68908-0000000,53.2,29.1,12.7,5.1,82.2,redacted,88.5,redacted,redacted,73,redacted,86.4,79.9,78.3,86.6
354,Hilmar Unified (Merced),24-65698-0000000,8.6,27.6,24.2,39.6,36.2,redacted,redacted,redacted,redacted,24.8,redacted,redacted,44.8,29.1,43.7
355,Hollister (San Benito),35-67470-0000000,18.3,29.4,24.6,27.7,47.7,30.8,66.1,40,78.1,44.4,redacted,61.1,61.6,39.8,55.7
356,Holtville Unified (Imperial),13-63149-0000000,17.8,33.5,25.3,23.4,51.3,,,redacted,,48.3,,63.6,78.2,42.3,60.9
357,Hope Elementary (Santa Barbara),42-69211-0000000,36.2,30.1,18.5,15.3,66.3,,79,redacted,redacted,38.3,redacted,86.7,80.7,60.3,72.6
358,Hope Elementary (Tulare),54-71944-0000000,6.6,21.1,36.2,36.2,27.6,,redacted,,,19.8,,redacted,39.3,25.9,29.6
359,Horicon Elementary (Sonoma),49-70763-0000000,4.8,9.5,35.7,50,14.3,redacted,,,,4,,redacted,35.7,9.1,20
360,Hornbrook Elementary (Siskiyou),47-70359-0000000,5.6,22.2,27.8,44.4,27.8,redacted,,,,redacted,,41.7,23.8,21.4,31.8
361,Hot Springs Elementary (Tulare),54-71951-0000000,redacted,redacted,redacted,redacted,redacted,,,,,redacted,,redacted,redacted,redacted,redacted
362,Howell Mountain Elementary (Napa),28-66258-0000000,13.5,28.9,25,32.7,42.3,redacted,redacted,redacted,,29.6,,redacted,55,41.4,43.5
363,Hueneme Elementary (Ventura),56-72462-0000000,7.4,21.1,28.3,43.3,28.5,22.2,46.7,33.3,65.1,24.8,35.3,51.1,47,25,31.9
364,Hughes-Elizabeth Lakes Union Elementary (Los Angeles),19-64626-0000000,9,31.5,39.6,19.8,40.5,redacted,redacted,,,38.2,,redacted,43.7,40,41.2
365,Hughson Unified (Stanislaus),50-75549-0000000,13.3,31.4,27.7,27.6,44.7,redacted,redacted,redacted,redacted,38.1,redacted,63.6,53.8,37.7,51.7
366,Humboldt County Office of Education (Humboldt),12-10124-0000000,0,0,13.5,86.5,0,redacted,,redacted,,redacted,,redacted,0,0,0
367,Huntington Beach City Elementary (Orange),30-66530-0000000,39.4,35.6,15.7,9.3,74.9,46.2,89.1,61.9,73.7,58.8,78.6,84.6,76.4,69.6,80.8
368,Huntington Beach Union High (Orange),30-66548-0000000,44.1,34.4,13,8.5,78.5,69,89.8,72.7,77.1,63.6,58.3,86.4,81.1,74,82.9
369,Hydesville Elementary (Humboldt),12-62885-0000000,20.6,46,16.7,16.7,66.7,,redacted,,,66.7,,redacted,66.7,60,75
370,"Igo, Ono, Platina Union Elementary (Shasta)",45-70029-0000000,0,41.7,25,33.3,41.7,,redacted,redacted,,redacted,redacted,,50,45.5,38.5
371,Imperial County Office of Education (Imperial),13-10132-0000000,0,12.5,25,62.5,12.5,,,redacted,,11.3,,,redacted,8.5,23.5
372,Imperial Unified (Imperial),13-63164-0000000,16.8,37.3,27.3,18.6,54.1,redacted,76.9,56.5,76.2,52,redacted,70.6,64.3,51.1,57.3
373,Indian Diggings Elementary (El Dorado),09-61895-0000000,6.7,20,40,33.3,26.7,,,,,redacted,,redacted,36.4,redacted,redacted
374,Indian Springs Elementary (Shasta),45-70037-0000000,redacted,redacted,redacted,redacted,redacted,,,,,,,redacted,redacted,redacted,redacted
375,Inglewood Unified (Los Angeles),19-64634-0000000,7.5,21.9,26.9,43.6,29.5,30.3,31.3,28.4,58.8,30.3,15,30,41.9,25.3,33.9
376,Inyo County Office of Education (Inyo),14-10140-0000000,0,8.3,21.7,70,8.3,redacted,redacted,redacted,,6.4,,redacted,redacted,9.4,7.1
377,Irvine Unified (Orange),30-73650-0000000,46.6,30.9,13.2,9.4,77.5,71.8,85.5,43.3,79.2,58.4,66.7,79.6,73.7,73.5,81.8
378,Island Union Elementary (Kings),16-63933-0000000,24.6,35.9,23.6,15.9,60.5,,,redacted,redacted,52.3,,63.6,66.9,53.5,68.2
379,Jacoby Creek Elementary (Humboldt),12-62893-0000000,37.9,34.2,18.6,9.3,72.1,redacted,redacted,redacted,redacted,59.5,,62.9,75.4,64.4,79.6
380,Jamestown Elementary (Tuolumne),55-72363-0000000,10,25.1,33,31.9,35.1,redacted,,redacted,redacted,32.1,,redacted,33.9,31.8,39.3
381,Jamul-Dulzura Union Elementary (San Diego),37-68155-0000000,16.5,34.9,23.4,25.2,51.4,redacted,redacted,redacted,redacted,42.4,,85.7,58.8,48.5,55.8
382,Janesville Union Elementary (Lassen),18-64105-0000000,8.4,29.5,27.3,34.8,37.9,redacted,redacted,,,21.1,,redacted,41.4,33.9,43
383,Jefferson Elementary (San Benito),35-67488-0000000,redacted,redacted,redacted,redacted,redacted,,,,,redacted,,,redacted,redacted,redacted
384,Jefferson Elementary (San Mateo),41-68916-0000000,19.2,35.1,25.7,20,54.2,redacted,65.3,39.2,69.1,43.9,43.8,66.3,60,46.2,62.8
385,Jefferson Elementary (San Joaquin),39-68544-0000000,16.1,30.3,25.6,28,46.4,redacted,63.3,29.2,54.4,30.9,38.9,59.5,35.1,41.2,51.7
386,Jefferson Union High (San Mateo),41-68924-0000000,32.1,33.9,18.6,15.4,66.1,redacted,82.6,31.6,75.4,46.8,redacted,72.7,63.4,57,75.8
387,John Swett Unified (Contra Costa),07-61697-0000000,11.3,25.1,27.8,35.8,36.4,redacted,46.7,15.7,54.7,32.8,redacted,41.9,46.2,30.8,42.6
388,Johnstonville Elementary (Lassen),18-64113-0000000,7,30.3,30.3,32.4,37.3,redacted,redacted,redacted,,19.1,,redacted,39.5,30.8,45.3
389,Julian Union Elementary (San Diego),37-68163-0000000,13.4,27.7,28.7,30.2,41.1,25.9,redacted,,redacted,39.2,redacted,redacted,46.9,34.6,48.9
390,Julian Union High (San Diego),37-68171-0000000,14.3,42.9,31,11.9,57.1,redacted,,,,38.5,,redacted,66.7,45.8,72.2
391,Junction City Elementary (Trinity),53-71738-0000000,26.1,37,34.8,2.2,63,redacted,,,,redacted,redacted,redacted,65.5,54.6,70.8
392,Junction Elementary (Shasta),45-70045-0000000,22.4,44.1,19.9,13.7,66.5,redacted,,redacted,,60,,redacted,67.2,59.6,75
393,Junction Elementary (Siskiyou),47-70367-0000000,0,5.9,17.7,76.5,5.9,9.1,,,,redacted,,redacted,redacted,0,redacted
394,Jurupa Unified (Riverside),33-67090-0000000,10.5,25.6,26.7,37.2,36.1,30,54.3,33.3,65.7,34.5,37.5,42.3,49.7,31.2,41.2
395,Kashia Elementary (Sonoma),49-70888-0000000,redacted,redacted,redacted,redacted,redacted,redacted,,,,,redacted,redacted,,redacted,redacted
396,Kelseyville Unified (Lake),17-64014-0000000,7.8,24.2,26.3,41.7,32,34.6,redacted,redacted,redacted,18.3,redacted,37.9,44.5,28,36.2
397,Kentfield Elementary (Marin),21-65334-0000000,40.2,37,14.2,8.6,77.1,redacted,83.8,redacted,redacted,55,redacted,88.6,79.3,72.2,82.7
398,Kenwood (Sonoma),49-70789-0000000,35.5,32.3,18.3,14,67.7,,redacted,redacted,,41.7,,redacted,70,60.4,75.6
399,Keppel Union Elementary (Los Angeles),19-64642-0000000,8.5,23.2,29.1,39.2,31.7,redacted,redacted,18.1,redacted,31.6,redacted,47.4,34.8,26.7,37.2
400,Kerman Unified (Fresno),10-73999-0000000,15,31.2,25.7,28.1,46.2,41.7,62.8,42.1,redacted,44,,45.5,57.9,38.4,54.4
401,Kern County Superintendent of Schools (Kern),15-10157-0000000,5.7,15.9,19,59.4,21.5,23.1,36.4,5.2,redacted,14.8,redacted,51.7,31,14.3,32.8
402,Kern High (Kern),15-63529-0000000,19,32.3,24.6,24.1,51.3,56.6,68.7,36.8,84.8,47.5,55.6,71.1,60.6,44.7,58
403,Kernville Union Elementary (Kern),15-63545-0000000,10,20.3,30.1,39.6,30.3,16.7,redacted,redacted,redacted,31.6,,redacted,30.4,28.3,32.1
404,Keyes Union (Stanislaus),50-71134-0000000,9.7,34.7,28.4,27.3,44.3,redacted,63.6,,,38.6,redacted,redacted,52.5,39.4,49.7
405,King City Union (Monterey),27-66050-0000000,7.1,21.4,26.3,45.3,28.5,redacted,7.7,redacted,redacted,26.1,,redacted,65.2,23.6,33.5
406,Kings Canyon Joint Unified (Fresno),10-62265-0000000,16.2,31.2,25.6,27,47.4,16.7,63.5,redacted,73.9,45.9,redacted,61.5,58.2,41.2,54.1
407,Kings County Office of Education (Kings),16-10165-0000000,0,2.2,10.9,87,2.2,redacted,,redacted,,0,,redacted,redacted,0,redacted
408,Kings River Union Elementary (Tulare),54-71969-0000000,12.9,21.3,26.1,39.7,34.2,,redacted,redacted,,31,,redacted,71.4,30.9,37.7
409,Kings River-Hardwick Union Elementary (Kings),16-63941-0000000,32,38.7,21.3,8.1,70.6,redacted,redacted,redacted,redacted,62.8,,81.3,74.7,66.6,75.6
410,Kingsburg Elementary Charter (Fresno),10-62240-0000000,17,31,27.7,24.3,48,redacted,75.8,redacted,redacted,39.4,redacted,76.5,60.6,42.6,53.6
411,Kingsburg Joint Union High (Fresno),10-62257-0000000,32.3,38,21.2,8.5,70.3,,63.6,redacted,redacted,64.7,,redacted,83,70.6,69.9
412,Kirkwood Elementary (Tehama),52-71555-0000000,16.4,29.9,31.3,22.4,46.3,redacted,,,,29.4,,redacted,51.1,37.5,54.3
413,Kit Carson Union Elementary (Kings),16-63958-0000000,6.7,28.1,25.5,39.7,34.8,,,redacted,,31,redacted,redacted,42.7,25.5,45.2
414,Klamath River Union Elementary (Siskiyou),47-70375-0000000,27.3,27.3,18.2,27.3,54.6,redacted,,,,redacted,,redacted,redacted,redacted,redacted
415,Klamath-Trinity Joint Unified (Humboldt),12-62901-0000000,3.4,13.6,18.4,64.6,17,15.7,redacted,redacted,,21.2,redacted,redacted,27.5,11.7,22.1
416,Kneeland Elementary (Humboldt),12-62919-0000000,5.3,31.6,36.8,26.3,36.8,redacted,redacted,,,,,redacted,30.8,redacted,redacted
417,Knights Ferry Elementary (Stanislaus),50-71142-0000000,12.9,34.3,28.6,24.3,47.1,,,redacted,redacted,redacted,,redacted,53.9,50,43.8
418,Knightsen Elementary (Contra Costa),07-61705-0000000,11.8,33.7,26.9,27.7,45.5,,redacted,redacted,redacted,33.6,redacted,47.1,56,36.9,54.5
419,Konocti Unified (Lake),17-64022-0000000,4.4,17.6,25.4,52.6,22,12.8,redacted,10.9,redacted,19.4,redacted,19.8,25.8,17.9,26.3
420,La Canada Unified (Los Angeles),19-64659-0000000,57.4,28.4,9.8,4.3,85.9,redacted,91.6,61.1,84.4,77.3,,89.4,84.4,82.1,90
421,La Habra City Elementary (Orange),30-66563-0000000,9.9,25.2,28.1,36.7,35.1,redacted,58.6,32.4,80,32.2,redacted,66.7,54.3,29.5,41
422,La Honda-Pescadero Unified (San Mateo),41-68940-0000000,14.7,30.7,25.2,29.5,45.4,,,,,36.5,,redacted,62.8,38,51.1
423,La Mesa-Spring Valley (San Diego),37-68197-0000000,20.1,30.5,23.8,25.6,50.7,40,64.5,35.3,71.6,40.2,53.3,56.7,69.3,45.7,55.9
424,Lafayette Elementary (Contra Costa),07-61713-0000000,46.9,36.5,11.9,4.6,83.5,redacted,86.5,63,87.5,81.7,redacted,88.2,83.3,79.1,87.7
425,Laguna Beach Unified (Orange),30-66555-0000000,46.6,35.5,12.2,5.8,82,redacted,93.3,70,90.9,71.4,redacted,92.6,82.1,78.3,86
426,Laguna Joint Elementary (Marin),21-65342-0000000,redacted,redacted,redacted,redacted,redacted,,,,,redacted,,redacted,,redacted,redacted
427,Lagunita Elementary (Monterey),27-66076-0000000,20.6,33.3,34.9,11.1,54,redacted,,,,47.8,,redacted,51.5,53.1,54.8
428,Lagunitas Elementary (Marin),21-65359-0000000,9,30.8,37.2,23.1,39.7,,redacted,redacted,redacted,20,redacted,redacted,45.3,34.2,46
429,Lake County Office of Education (Lake),17-10173-0000000,0,5.6,5.6,88.9,5.6,redacted,redacted,,,redacted,,redacted,redacted,6.3,redacted
430,Lake Elementary (Glenn),11-62596-0000000,19.1,29.1,25.5,26.4,48.2,redacted,,redacted,,46.7,,,48.7,44.4,51.8
431,Lake Elsinore Unified (Riverside),33-75176-0000000,12,27.9,29.4,30.8,39.9,25.9,67,35,62.4,33.4,40.7,56.5,49.2,34.8,45.1
432,Lake Tahoe Unified (El Dorado),09-61903-0000000,17.4,30,25.5,27.2,47.3,redacted,47.8,redacted,40,27.3,redacted,71.7,65.1,42.3,53.1
433,Lakeport Unified (Lake),17-64030-0000000,13,24.9,29.1,33,38,18.5,redacted,46.2,redacted,31.3,redacted,47.8,44.4,33.5,42.9
434,Lakeside Joint (Santa Clara),43-69492-0000000,51.2,26.8,14.6,7.3,78.1,,redacted,,,redacted,,redacted,80.8,65,90.5
435,Lakeside Union (Kern),15-63552-0000000,16.3,27.6,27.6,28.5,43.9,redacted,50.9,35.5,redacted,42.7,redacted,56.7,42.1,40,47.8
436,Lakeside Union Elementary (Kings),16-63966-0000000,6.6,23.7,26.3,43.4,30.3,,21.4,36.4,,31.2,,redacted,36.4,34.4,25.5
437,Lakeside Union Elementary (San Diego),37-68189-0000000,19.8,31.7,25,23.5,51.5,45.5,66.7,47.1,50,40.8,50,56.3,56.6,47.6,55.7
438,Lammersville Joint Unified (San Joaquin),39-76760-0000000,33.2,34.4,19,13.4,67.6,92.9,80.4,41.8,75.7,51.5,53.3,66.4,66.6,60.6,74.8
439,Lamont Elementary (Kern),15-63560-0000000,6.2,21.5,25.6,46.7,27.7,,redacted,redacted,,27.7,redacted,redacted,34.6,24.5,30.6
440,Lancaster Elementary (Los Angeles),19-64667-0000000,8.7,22.3,24.9,44,31.1,30.3,59.8,20.2,69,31.8,52.9,36.8,44,26.1,36.2
441,Larkspur-Corte Madera (Marin),21-65367-0000000,41.1,37.6,12.6,8.7,78.7,,81.4,redacted,redacted,52.1,redacted,81.5,83.6,74.1,83.8
442,Las Lomitas Elementary (San Mateo),41-68957-0000000,56,28.7,9.6,5.8,84.7,redacted,91,redacted,redacted,56.2,redacted,88.9,89.1,81,88.3
443,Las Virgenes Unified (Los Angeles),19-64683-0000000,35.3,37.3,17.5,9.9,72.6,72.3,84.1,53.8,74.5,58.4,redacted,72.9,74.1,67.4,78.1
444,Lassen County Office of Education (Lassen),18-10181-0000000,redacted,redacted,redacted,redacted,redacted,redacted,,,,,redacted,,redacted,redacted,
445,Lassen Union High (Lassen),18-64139-0000000,24.4,39,24.4,12.2,63.4,52.9,,redacted,redacted,57.1,redacted,redacted,66.1,54.6,72.6
446,Lassen View Union Elementary (Tehama),52-71563-0000000,14.7,36.9,29.8,18.7,51.5,redacted,,redacted,,31,,redacted,58.1,43.9,59
447,Laton Joint Unified (Fresno),10-62281-0000000,5.7,23.5,24.6,46.1,29.2,,redacted,redacted,,25.8,,redacted,61.9,22.4,36.5
448,Latrobe (El Dorado),09-61911-0000000,51,30.2,17.7,1,81.3,redacted,redacted,,redacted,58.3,,redacted,81.7,80,83.9
449,Lawndale Elementary (Los Angeles),19-64691-0000000,14.3,31.4,26.8,27.5,45.7,redacted,73.2,36.5,78.1,44.2,56.7,44.4,56.5,39.1,52.6
450,Laytonville Unified (Mendocino),23-73916-0000000,6.3,22.1,26.4,45.2,28.4,5,redacted,,,22.9,,26.9,35.3,22.5,35.1
451,Le Grand Union Elementary (Merced),24-65722-0000000,4.2,20.4,28.3,47.2,24.5,,redacted,redacted,,23.9,,redacted,14.3,15.5,35
452,Le Grand Union High (Merced),24-65730-0000000,9.4,35.9,27.4,27.4,45.3,,,,,45.5,,,redacted,45.3,45.3
453,Leggett Valley Unified (Mendocino),23-75218-0000000,11.3,27.4,29,32.3,38.7,redacted,,redacted,,redacted,redacted,redacted,37.5,35.3,42.9
454,Lemon Grove (San Diego),37-68205-0000000,11.5,28.8,28.6,31.1,40.3,40,60.5,32.4,67.4,37.6,31.3,49.7,52.4,34.2,46.3
455,Lemoore Union Elementary (Kings),16-63974-0000000,13.3,30.7,26.5,29.5,44,36.4,45.8,29.9,74.7,39.2,redacted,65.6,52.9,37.7,50.9
456,Lemoore Union High (Kings),16-63982-0000000,17.8,28.5,25.2,28.5,46.3,25,redacted,36.4,65.4,38.3,redacted,redacted,60.5,46,46.6
457,Lennox (Los Angeles),19-64709-0000000,10.4,22.9,28.4,38.3,33.3,redacted,63.6,27,redacted,33.3,16.7,redacted,redacted,29,37.8
458,Lewiston Elementary (Trinity),53-71746-0000000,16.1,29,32.3,22.6,45.2,redacted,redacted,,,redacted,,,52,47.1,42.9
459,Liberty Elementary (Tulare),54-71985-0000000,18.6,23.3,27.6,30.5,41.9,redacted,redacted,redacted,redacted,32.9,,redacted,54.2,36,48.8
460,Liberty Elementary (Sonoma),49-70797-0000000,42.2,38.8,12.1,6.9,81,,,,,68.2,,redacted,83.9,75.8,87
461,Liberty Union High (Contra Costa),07-61721-0000000,32.5,35.8,19.9,11.8,68.4,54.6,80.9,41,83.9,63.8,75,76.6,74.4,61.1,75.1
462,Lincoln Elementary (Marin),21-65375-0000000,redacted,redacted,redacted,redacted,redacted,,,,,redacted,,,redacted,redacted,redacted
463,Lincoln Unified (San Joaquin),39-68569-0000000,16.2,31.1,25.8,27,47.3,50,61.6,31.8,64.2,40.9,36.5,53.3,60,41.4,53.5
464,Linden Unified (San Joaquin),39-68577-0000000,11.1,31,26,31.9,42.1,47.1,75,redacted,redacted,33.7,redacted,50,53.8,35.7,48.8
465,Lindsay Unified (Tulare),54-71993-0000000,8,23.1,25.9,42.9,31.1,redacted,27.7,redacted,redacted,31.2,,redacted,32.1,26.1,36.8
466,Linns Valley-Poso Flat Union (Kern),15-63586-0000000,14.3,7.1,50,28.6,21.4,,,,,,,,21.4,redacted,redacted
467,Little Lake City Elementary (Los Angeles),19-64717-0000000,19.8,34.7,26,19.5,54.5,redacted,82.8,46.6,74.2,54,redacted,36.8,59,49.3,59.9
468,Little Shasta Elementary (Siskiyou),47-70383-0000000,redacted,redacted,redacted,redacted,redacted,redacted,,,,,,redacted,redacted,redacted,redacted
469,Live Oak Elementary (Santa Cruz),44-69765-0000000,17.9,34.5,26.1,21.5,52.4,63.6,79.6,57.1,57.1,42.4,redacted,redacted,65.9,45.7,59.2
470,Live Oak Unified (Sutter),51-71399-0000000,13,30.3,25.5,31.2,43.2,redacted,56.5,redacted,redacted,38.4,redacted,81.8,48.2,36.7,50.1
471,Livermore Valley Joint Unified (Alameda),01-61200-0000000,28,33.2,20,18.9,61.2,42.9,76.7,46.5,67.2,43.6,58.3,70.1,68.7,54.7,68
472,Livingston Union (Merced),24-65748-0000000,9.5,24.2,28.2,38.1,33.7,redacted,51.8,redacted,redacted,31.5,redacted,redacted,36.7,30.9,36.8
473,Lodi Unified (San Joaquin),39-68585-0000000,15.1,27.3,25.6,32.1,42.3,48.5,49.8,23.4,61,34.8,44.7,43.1,55.6,36.9,48
474,Loleta Union Elementary (Humboldt),12-62927-0000000,3.6,8.9,19.6,67.9,12.5,0,,,,12,,redacted,36.4,8.7,15.2
475,Loma Prieta Joint Union Elementary (Santa Clara),43-69500-0000000,35.4,42.5,14.2,7.9,78,redacted,85,redacted,redacted,70.6,redacted,71.8,79,74.2,81.7
476,Lompoc Unified (Santa Barbara),42-69229-0000000,15,30.3,26.1,28.6,45.3,45.8,52.9,42.3,67.9,38,64.7,60,61.9,40.2,50.9
477,Lone Pine Unified (Inyo),14-63289-0000000,8.2,27.7,32.1,32.1,35.9,48.2,redacted,redacted,,29.3,,redacted,43.6,30,43.5
478,Long Beach Unified (Los Angeles),19-64725-0000000,19.7,28.6,24.2,27.6,48.2,39.7,66.5,34.4,67.9,40.3,43.7,67.2,74.9,42.8,53.9
479,Loomis Union Elementary (Placer),31-66845-0000000,29.3,37.4,19.5,13.8,66.7,56,80.6,redacted,81.8,52,redacted,65.4,68.4,62.3,71.6
480,Los Alamitos Unified (Orange),30-73924-0000000,49.6,32,12.5,6,81.6,58.3,92.4,67.4,87.2,73.9,71.9,83.8,83.1,78.2,85
481,Los Altos Elementary (Santa Clara),43-69518-0000000,56.4,30.3,8.7,4.5,86.8,redacted,92.1,75,redacted,59.7,redacted,89.4,86.9,84.8,88.8
482,Los Angeles County Office of Education (Los Angeles),19-10199-0000000,18.9,16.3,13.6,51.3,35.1,redacted,73.7,7.4,71.4,29.4,redacted,76.2,70.9,26.5,50
483,Los Angeles Unified (Los Angeles),19-64733-0000000,14.6,25,24.1,36.3,39.6,43.6,73.5,29.5,68.3,33.7,47.2,65.1,66.1,34.4,44.9
484,Los Banos Unified (Merced),24-65755-0000000,10.6,24.8,28.7,35.9,35.4,25,56.7,21.9,70.3,32.7,29.8,51.2,51.1,30.1,40.9
485,Los Gatos Union Elementary (Santa Clara),43-69526-0000000,42,37.2,13.9,6.9,79.2,82.4,87,75,redacted,66.5,redacted,80.2,78.6,75,83.8
486,Los Gatos-Saratoga Joint Union High (Santa Clara),43-69534-0000000,55.2,27.8,11.5,5.5,83,,92,redacted,redacted,75,redacted,81.1,79,77.4,89.3
487,Los Molinos Unified (Tehama),52-71571-0000000,9,27.1,29.5,34.4,36.1,redacted,redacted,,,29.9,,38.5,42.5,29.1,43.8
488,Los Nietos (Los Angeles),19-64758-0000000,12.4,29.2,26.2,32.2,41.6,redacted,redacted,redacted,redacted,41.4,redacted,redacted,44,35.4,48.9
489,Los Olivos Elementary (Santa Barbara),42-69245-0000000,39.3,34.6,18.7,7.5,73.8,,redacted,,,60.9,,redacted,77.9,80,67.3
490,Lost Hills Union Elementary (Kern),15-63594-0000000,3.1,14.9,26.6,55.4,18,,redacted,redacted,,17.8,,,,15.4,20.4
491,Lowell Joint (Los Angeles),19-64766-0000000,24.7,36.3,22.4,16.7,60.9,redacted,76.8,57.1,64.3,56.8,redacted,71.4,69.9,55.9,65.9
492,Lucerne Elementary (Lake),17-64048-0000000,5.1,18.4,26.6,50,23.4,redacted,redacted,redacted,,26.2,,redacted,25.3,20.5,27.1
493,Lucerne Valley Unified (San Bernardino),36-75051-0000000,10.5,20,25.1,44.5,30.5,redacted,redacted,redacted,redacted,28.1,redacted,redacted,31.2,25,36.3
