,District Name,CDS Number (District),CAASPP-ELA Standard Exceeded (Level 4) (District),CAASPP-ELA Standard Met (Level 3) (District),CAASPP-ELA Standard Nearly Met (Level 2) (District),CAASPP-ELA Standard Not Met (Level 1) (District),CAASPP-ELA Standard Exceeded or Met (Levels 3 and 4) (District),American Indian or Alaska Native (CAASPP-ELA Levels 3 and 4) (District),Asian (CAASPP-ELA Levels 3 and 4) (District),Black or African American (CAASPP-ELA Levels 3 and 4) (District),Filipino (CAASPP-ELA Levels 3 and 4) (District),Hispanic or Latino (CAASPP-ELA Levels 3 and 4) (District),Native Hawaiian or Pac Islandr (CAASPP-ELA Levels 3 and 4) (District),Two or More Races (CAASPP-ELA Levels 3 and 4) (District),White (CAASPP-ELA Levels 3 and 4) (District),Males (CAASPP-ELA Levels 3 and 4) (District),Females (CAASPP-ELA Levels 3 and 4) (District)
125,Cambrian (Santa Clara),43-69385-0000000,32.1,34.1,17.3,16.6,66.1,50,82.6,57.1,77.3,45,45.5,69.7,72.1,60.4,71.8
126,Camino Union Elementary (El Dorado),09-61846-0000000,13.6,32.2,28.7,25.6,45.7,redacted,,,,27.6,,50,58.6,39.2,51.5
127,Campbell Union (Santa Clara),43-69393-0000000,24.7,28.7,20.8,25.8,53.4,50,80.4,43.6,72.1,32.3,56.7,73.8,74.4,47.6,59.5
128,Campbell Union High (Santa Clara),43-69401-0000000,44.2,30.5,14.4,10.9,74.7,redacted,93.1,52.3,79.1,57.3,63.6,82.3,83.4,70.9,78.9
129,Camptonville Elementary (Yuba),58-72728-0000000,10.5,34.2,36.8,18.4,44.7,redacted,,,,redacted,,redacted,50,41.7,50
130,Canyon Elementary (Contra Costa),07-61671-0000000,45.5,22.7,20.5,11.4,68.2,,redacted,redacted,,redacted,,redacted,62.1,65.2,71.4
131,Capay Joint Union Elementary (Glenn),11-62554-0000000,11,33.8,21.3,33.8,44.9,,redacted,,,22.8,,redacted,60.3,40,48.7
132,Capistrano Unified (Orange),30-66464-0000000,35.8,33.5,16.7,14,69.3,69.2,86.9,57.3,77.7,46.5,59.4,78.9,76.9,64.5,74.3
133,Cardiff Elementary (San Diego),37-68007-0000000,44.2,28.2,18,9.6,72.4,,redacted,,,42.1,,81,79.6,68.5,76.4
134,Carlsbad Unified (San Diego),37-73551-0000000,42,32.9,16,9.1,74.9,70.6,90.5,49.3,83.9,56.9,81.8,83.7,81.3,71.4,78.9
135,Carmel Unified (Monterey),27-65987-0000000,50.8,30.4,12.2,6.6,81.2,redacted,95,redacted,redacted,61.6,redacted,84.9,85.8,77.4,85.3
136,Carpinteria Unified (Santa Barbara),42-69146-0000000,15.7,33.9,28.1,22.3,49.6,redacted,80,redacted,redacted,41.4,,73.3,73.8,43.6,56.5
