,District Name,CDS Number (District),Average Daily Attendance (ADA) (District),English Learners # (District),English Learners % (District),Enrollment (District),Ethnic Diversity Index (District),American Indian or Alaska Native # (District),Asian # (District),Black or African American # (District),Filipino # (District),Hispanic or Latino # (District),Native Hawaiian or Pac Islander # (District),Two or More Races # (District),None Reported # (District),White # (District),American Indian or Alaska Native % (District),Asian % (District),Black or African American % (District),Filipino % (District),Hispanic or Latino % (District),Native Hawaiian or Pac Islander % (District),Two or More Races % (District),None Reported % (District),White % (District),Fluent English Proficient (FEP) # (District),Fluent English Proficient (FEP) % (District),Foster Youth # (District),Free/Reduced Meals # (District),Free/Reduced Meals % (District),FRPM/EL/Foster Undupl # (District),FRPM/EL/Foster Undupl % (District),Homeless # (District),Migrant # (District),Special Education # (District)
662,Paso Robles Joint Unified (San Luis Obispo),40-75457-0000000,6440.0,1308.0,19.2,6814.0,38.0,29.0,54.0,100.0,21.0,3625.0,17.0,138.0,80.0,2750.0,0.4,0.8,1.5,0.3,53.2,0.2,2.0,1.2,40.4,1151.0,16.9,43,3325.0,48.8,3491.0,51.6,535.0,211.0,808.0
663,Patterson Joint Unified (Stanislaus),50-71217-0000000,5727.0,2028.0,33.3,6083.0,30.0,26.0,138.0,351.0,90.0,4446.0,102.0,188.0,1.0,741.0,0.4,2.3,5.8,1.5,73.1,1.7,3.1,0.0,12.2,1119.0,18.4,26,4512.0,74.2,4736.0,76.0,108.0,194.0,703.0
664,Peninsula Union (Humboldt),12-62984-0000000,30.0,,,36.0,19.0,1.0,0.0,2.0,0.0,3.0,0.0,0.0,1.0,29.0,2.8,0.0,5.6,0.0,8.3,0.0,0.0,2.8,80.6,0.0,0.0,redacted,30.0,83.3,30.0,91.2,0.0,0.0,9.0
665,Penn Valley Union Elementary (Nevada),29-76877-0000000,532.0,17.0,2.8,600.0,24.0,12.0,8.0,4.0,0.0,67.0,0.0,37.0,0.0,472.0,2.0,1.3,0.7,0.0,11.2,0.0,6.2,0.0,78.7,6.0,1.0,redacted,291.0,48.5,268.0,51.9,28.0,0.0,67.0
666,Perris Elementary (Riverside),33-67199-0000000,4760.0,2961.0,49.7,5963.0,14.0,8.0,29.0,450.0,17.0,5231.0,12.0,4.0,0.0,212.0,0.1,0.5,7.5,0.3,87.7,0.2,0.1,0.0,3.6,479.0,8.0,68,5032.0,84.4,4627.0,92.1,716.0,16.0,430.0
667,Perris Union High (Riverside),33-67207-0000000,8988.0,2010.0,18.6,10796.0,31.0,26.0,147.0,652.0,210.0,7700.0,47.0,343.0,7.0,1664.0,0.2,1.4,6.0,1.9,71.3,0.4,3.2,0.1,15.4,3228.0,29.9,72,7930.0,73.5,7218.0,73.6,622.0,0.0,1060.0
668,Petaluma City Elementary (Sonoma),49-70854-0000000,,489.0,20.3,2404.0,39.0,15.0,50.0,29.0,11.0,761.0,6.0,109.0,1.0,1422.0,0.6,2.1,1.2,0.5,31.7,0.2,4.5,0.0,59.2,128.0,5.3,12,875.0,36.4,720.0,44.7,92.0,12.0,356.0
669,Petaluma City Elementary/Joint Union High (Sonoma),49-40246-0000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670,Petaluma Joint Union High (Sonoma),49-70862-0000000,,486.0,9.0,5372.0,39.0,31.0,147.0,66.0,27.0,1758.0,18.0,204.0,3.0,3118.0,0.6,2.7,1.2,0.5,32.7,0.3,3.8,0.1,58.0,1068.0,19.9,redacted,1893.0,35.2,1824.0,37.4,89.0,18.0,779.0
671,Piedmont City Unified (Alameda),01-61275-0000000,2605.0,48.0,1.8,2692.0,43.0,1.0,336.0,38.0,23.0,207.0,2.0,474.0,0.0,1611.0,0.0,12.5,1.4,0.9,7.7,0.1,17.6,0.0,59.8,289.0,10.7,redacted,27.0,1.0,73.0,2.6,6.0,0.0,336.0
672,Pierce Joint Unified (Colusa),06-61614-0000000,1425.0,482.0,32.6,1480.0,26.0,0.0,18.0,21.0,1.0,1103.0,3.0,17.0,0.0,317.0,0.0,1.2,1.4,0.1,74.5,0.2,1.1,0.0,21.4,444.0,30.0,redacted,990.0,66.9,1048.0,70.3,39.0,66.0,148.0
673,Pine Ridge Elementary (Fresno),10-62372-0000000,88.0,,,96.0,9.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,88.0,0.0,0.0,0.0,0.0,8.3,0.0,0.0,0.0,91.7,0.0,0.0,redacted,21.0,21.9,21.0,23.6,1.0,0.0,12.0
674,Piner-Olivet Union Elementary (Sonoma),49-70870-0000000,1045.0,335.0,23.6,1422.0,50.0,22.0,97.0,45.0,13.0,646.0,10.0,90.0,4.0,495.0,1.5,6.8,3.2,0.9,45.4,0.7,6.3,0.3,34.8,146.0,10.3,redacted,572.0,40.2,150.0,47.6,2.0,12.0,107.0
675,Pioneer Union Elementary (El Dorado),09-61945-0000000,296.0,15.0,5.0,303.0,35.0,2.0,3.0,1.0,1.0,56.0,0.0,35.0,5.0,200.0,0.7,1.0,0.3,0.3,18.5,0.0,11.6,1.7,66.0,4.0,1.3,redacted,180.0,59.4,182.0,60.8,2.0,0.0,46.0
676,Pioneer Union Elementary (Butte),04-73379-0000000,55.0,,,66.0,37.0,1.0,0.0,0.0,0.0,14.0,0.0,9.0,0.0,42.0,1.5,0.0,0.0,0.0,21.2,0.0,13.6,0.0,63.6,0.0,0.0,redacted,60.0,90.9,60.0,95.0,0.0,0.0,12.0
677,Pioneer Union Elementary (Kings),16-63990-0000000,1548.0,133.0,8.2,1613.0,49.0,18.0,66.0,84.0,51.0,721.0,19.0,29.0,0.0,625.0,1.1,4.1,5.2,3.2,44.7,1.2,1.8,0.0,38.7,107.0,6.6,redacted,693.0,43.0,725.0,41.7,0.0,3.0,120.0
678,Pittsburg Unified (Contra Costa),07-61788-0000000,10839.0,3548.0,30.9,11489.0,39.0,24.0,347.0,1970.0,567.0,7329.0,178.0,433.0,15.0,626.0,0.2,3.0,17.1,4.9,63.8,1.5,3.8,0.1,5.4,2467.0,21.5,69,8261.0,71.9,9009.0,80.6,103.0,0.0,1142.0
679,Pixley Union Elementary (Tulare),54-72041-0000000,1064.0,666.0,60.2,1106.0,7.0,2.0,6.0,21.0,0.0,1038.0,0.0,0.0,0.0,39.0,0.2,0.5,1.9,0.0,93.9,0.0,0.0,0.0,3.5,211.0,19.1,12,1054.0,95.3,1069.0,96.9,41.0,64.0,64.0
680,Placentia-Yorba Linda Unified (Orange),30-66647-0000000,24776.0,4035.0,15.6,25798.0,51.0,54.0,3814.0,342.0,551.0,10760.0,57.0,656.0,86.0,9478.0,0.2,14.8,1.3,2.1,41.7,0.2,2.5,0.3,36.7,3857.0,15.0,72,8652.0,33.5,9453.0,37.0,2477.0,34.0,2768.0
681,Placer County Office of Education (Placer),31-10314-0000000,,30.0,3.8,794.0,34.0,12.0,13.0,14.0,6.0,145.0,2.0,55.0,13.0,534.0,1.5,1.6,1.8,0.8,18.3,0.3,6.9,1.6,67.3,29.0,3.7,25,181.0,22.7,70.0,,5.0,0.0,196.0
682,Placer Hills Union Elementary (Placer),31-66886-0000000,703.0,3.0,0.4,721.0,15.0,7.0,3.0,5.0,4.0,53.0,0.0,27.0,2.0,620.0,1.0,0.4,0.7,0.6,7.4,0.0,3.7,0.3,86.0,7.0,1.0,redacted,213.0,29.5,216.0,33.5,27.0,0.0,84.0
683,Placer Union High (Placer),31-66894-0000000,3813.0,70.0,1.7,4074.0,26.0,47.0,24.0,26.0,25.0,559.0,3.0,269.0,20.0,3101.0,1.2,0.6,0.6,0.6,13.7,0.1,6.6,0.5,76.1,197.0,4.8,19,876.0,21.5,890.0,23.5,117.0,0.0,375.0
684,Placerville Union Elementary (El Dorado),09-61952-0000000,1231.0,193.0,14.9,1293.0,35.0,13.0,7.0,5.0,3.0,377.0,3.0,59.0,10.0,816.0,1.0,0.5,0.4,0.2,29.2,0.2,4.6,0.8,63.1,59.0,4.6,14,666.0,51.5,683.0,54.8,49.0,0.0,146.0
685,Plainsburg Union Elementary (Merced),24-65813-0000000,118.0,16.0,12.9,124.0,34.0,0.0,0.0,0.0,0.0,52.0,1.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,41.9,0.8,0.0,0.0,57.3,13.0,10.5,redacted,56.0,45.2,57.0,48.7,0.0,1.0,0.0
686,Planada Elementary (Merced),24-65821-0000000,763.0,428.0,53.0,807.0,4.0,2.0,3.0,5.0,0.0,782.0,0.0,0.0,0.0,15.0,0.2,0.4,0.6,0.0,96.9,0.0,0.0,0.0,1.9,219.0,27.1,redacted,744.0,92.2,760.0,94.0,5.0,69.0,66.0
687,Plaza Elementary (Glenn),11-62638-0000000,193.0,21.0,10.5,200.0,35.0,2.0,2.0,0.0,0.0,60.0,0.0,10.0,0.0,126.0,1.0,1.0,0.0,0.0,30.0,0.0,5.0,0.0,63.0,15.0,7.5,redacted,82.0,41.0,86.0,40.5,0.0,0.0,9.0
688,Pleasant Grove Joint Union (Sutter),51-71431-0000000,193.0,13.0,6.7,194.0,23.0,1.0,4.0,1.0,0.0,27.0,3.0,5.0,3.0,150.0,0.5,2.1,0.5,0.0,13.9,1.5,2.6,1.5,77.3,8.0,4.1,redacted,61.0,31.4,66.0,36.8,3.0,0.0,13.0
689,Pleasant Ridge Union Elementary (Nevada),29-66373-0000000,1121.0,7.0,0.6,1178.0,18.0,6.0,5.0,2.0,5.0,111.0,2.0,64.0,0.0,983.0,0.5,0.4,0.2,0.4,9.4,0.2,5.4,0.0,83.4,16.0,1.4,redacted,299.0,25.4,299.0,27.0,1.0,0.0,122.0
690,Pleasant Valley (Ventura),56-72553-0000000,6280.0,772.0,10.6,7284.0,51.0,27.0,430.0,203.0,304.0,2732.0,29.0,432.0,0.0,3127.0,0.4,5.9,2.8,4.2,37.5,0.4,5.9,0.0,42.9,469.0,6.4,28,2099.0,28.8,1945.0,30.3,134.0,1.0,878.0
691,Pleasant Valley Joint Union Elementary (San Luis Obispo),40-68791-0000000,90.0,29.0,29.3,99.0,40.0,0.0,1.0,0.0,0.0,37.0,2.0,3.0,9.0,47.0,0.0,1.0,0.0,0.0,37.4,2.0,3.0,9.1,47.5,4.0,4.0,redacted,36.0,36.4,45.0,50.3,1.0,12.0,10.0
692,Pleasant View Elementary (Tulare),54-72058-0000000,472.0,315.0,66.2,476.0,9.0,2.0,0.0,0.0,32.0,422.0,0.0,0.0,16.0,4.0,0.4,0.0,0.0,6.7,88.7,0.0,0.0,3.4,0.8,30.0,6.3,redacted,455.0,95.6,470.0,98.7,16.0,29.0,9.0
693,Pleasanton Unified (Alameda),01-75101-0000000,14362.0,1436.0,9.7,14778.0,50.0,23.0,5695.0,201.0,324.0,1467.0,34.0,704.0,0.0,6330.0,0.2,38.5,1.4,2.2,9.9,0.2,4.8,0.0,42.8,3518.0,23.8,redacted,989.0,6.7,2118.0,13.5,35.0,0.0,1199.0
694,Plumas County Office of Education (Plumas),32-10322-0000000,,,,23.0,24.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,18.0,0.0,0.0,4.3,0.0,8.7,0.0,8.7,0.0,78.3,0.0,0.0,redacted,15.0,65.2,15.0,,5.0,0.0,6.0
695,Plumas Lake Elementary (Yuba),58-72744-0000000,1233.0,84.0,6.6,1272.0,49.0,15.0,56.0,41.0,23.0,321.0,7.0,141.0,0.0,668.0,1.2,4.4,3.2,1.8,25.2,0.6,11.1,0.0,52.5,68.0,5.3,11,454.0,35.7,479.0,39.4,0.0,0.0,85.0
696,Plumas Unified (Plumas),32-66969-0000000,1676.0,76.0,3.6,2133.0,29.0,77.0,13.0,25.0,10.0,326.0,2.0,112.0,9.0,1559.0,3.6,0.6,1.2,0.5,15.3,0.1,5.3,0.4,73.1,41.0,1.9,28,1014.0,47.5,851.0,48.6,110.0,0.0,276.0
697,Point Arena Joint Union High (Mendocino),23-65599-0000000,,22.0,14.9,148.0,41.0,11.0,1.0,0.0,0.0,76.0,0.0,0.0,1.0,59.0,7.4,0.7,0.0,0.0,51.4,0.0,0.0,0.7,39.9,34.0,23.0,redacted,80.0,54.1,83.0,65.7,15.0,0.0,19.0
698,Pollock Pines Elementary (El Dorado),09-61960-0000000,649.0,22.0,3.2,687.0,25.0,7.0,6.0,8.0,6.0,107.0,2.0,18.0,8.0,525.0,1.0,0.9,1.2,0.9,15.6,0.3,2.6,1.2,76.4,5.0,0.7,redacted,338.0,49.2,343.0,50.9,1.0,0.0,108.0
699,Pomona Unified (Los Angeles),19-64907-0000000,22814.0,6919.0,28.5,24314.0,16.0,48.0,824.0,1108.0,293.0,20827.0,37.0,238.0,41.0,898.0,0.2,3.4,4.6,1.2,85.7,0.2,1.0,0.2,3.7,6613.0,27.2,252,20375.0,83.8,20350.0,85.4,2796.0,9.0,2524.0
700,Pond Union Elementary (Kern),15-63719-0000000,186.0,84.0,42.9,196.0,6.0,1.0,4.0,0.0,0.0,184.0,0.0,0.0,1.0,6.0,0.5,2.0,0.0,0.0,93.9,0.0,0.0,0.5,3.1,38.0,19.4,redacted,177.0,90.3,180.0,92.6,3.0,11.0,18.0
701,Pope Valley Union Elementary (Napa),28-66282-0000000,55.0,23.0,39.7,58.0,36.0,2.0,0.0,0.0,0.0,35.0,0.0,2.0,1.0,18.0,3.4,0.0,0.0,0.0,60.3,0.0,3.4,1.7,31.0,10.0,17.2,redacted,43.0,74.1,45.0,76.1,0.0,8.0,5.0
702,Porterville Unified (Tulare),54-75523-0000000,12783.0,3956.0,27.5,14368.0,21.0,324.0,237.0,74.0,154.0,11554.0,60.0,146.0,97.0,1722.0,2.3,1.6,0.5,1.1,80.4,0.4,1.0,0.7,12.0,3832.0,26.7,91,11879.0,82.7,11529.0,84.5,14.0,1032.0,693.0
703,Portola Valley Elementary (San Mateo),41-68981-0000000,605.0,17.0,2.7,627.0,34.0,0.0,34.0,8.0,0.0,91.0,4.0,57.0,0.0,433.0,0.0,5.4,1.3,0.0,14.5,0.6,9.1,0.0,69.1,74.0,11.8,redacted,53.0,8.5,62.0,10.0,0.0,0.0,53.0
704,Potter Valley Community Unified (Mendocino),23-73866-0000000,252.0,46.0,17.0,270.0,40.0,10.0,0.0,2.0,0.0,107.0,0.0,9.0,0.0,142.0,3.7,0.0,0.7,0.0,39.6,0.0,3.3,0.0,52.6,31.0,11.5,redacted,181.0,67.0,187.0,69.5,17.0,0.0,32.0
705,Poway Unified (San Diego),37-68296-0000000,34749.0,4220.0,11.7,35956.0,55.0,69.0,7521.0,823.0,2359.0,5312.0,132.0,2488.0,317.0,16935.0,0.2,20.9,2.3,6.6,14.8,0.4,6.9,0.9,47.1,6518.0,18.1,25,5111.0,14.2,7778.0,22.2,335.0,0.0,4047.0
706,Princeton Joint Unified (Glenn),11-62646-0000000,158.0,30.0,17.8,169.0,34.0,0.0,0.0,2.0,0.0,101.0,0.0,0.0,0.0,66.0,0.0,0.0,1.2,0.0,59.8,0.0,0.0,0.0,39.1,54.0,32.0,redacted,118.0,69.8,120.0,70.2,3.0,1.0,14.0
