,District Name,CDS Number (District),American Indian or Alaska Native (CAASPP-Math Levels 3 and 4) (District),Asian (CAASPP-Math Levels 3 and 4) (District),Black or African American (CAASPP-Math Levels 3 and 4) (District),Filipino (CAASPP-Math Levels 3 and 4) (District),Hispanic or Latino (CAASPP-Math Levels 3 and 4) (District),Native Hawaiian or Pac Islandr (CAASPP-Math Levels 3 and 4) (District),Two or More Races (CAASPP-Math Levels 3 and 4) (District),White (CAASPP-Math Levels 3 and 4) (District),Males (CAASPP-Math Levels 3 and 4) (District),Females (CAASPP-Math Levels 3 and 4) (District),CAASPP-Math Standard Exceeded or Met (Levels 3 and 4) (District),CAASPP-Math Standard Exceeded (Level 4) (District),CAASPP-Math Standard Met (Level 3) (District),CAASPP-Math Standard Nearly Met (Level 2) (District),CAASPP-Math Standard Not Met (Level 1) (District)
323,Graves Elementary (Monterey),27-66027-0000000,,redacted,,,45.5,redacted,redacted,redacted,50,47.1,48.3,31,17.2,37.9,13.8
324,Green Point Elementary (Humboldt),12-62851-0000000,,,,,,,,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted
325,Greenfield Union (Kern),15-63503-0000000,37.5,42.3,23.2,36,32.6,redacted,32.8,36.6,32.5,32.4,32.4,10.8,21.6,32.4,35.1
326,Greenfield Union Elementary (Monterey),27-66035-0000000,,redacted,redacted,redacted,18.1,redacted,redacted,13.8,18.8,17.8,18.3,5.3,13,25.2,56.4
327,Grenada Elementary (Siskiyou),47-70326-0000000,redacted,,redacted,,16.7,,redacted,38.4,37.7,33.9,35.8,11.7,24.2,28.3,35.8
328,Gridley Unified (Butte),04-75507-0000000,redacted,41.7,redacted,,26.6,redacted,redacted,38.9,30.6,30.8,30.7,9.5,21.3,33.4,35.9
329,Grossmont Union High (San Diego),37-68130-0000000,20,51.3,18.5,66.7,27.1,33.3,48.5,42.4,35.3,38.1,36.7,12.6,24.1,24.3,39
330,Guadalupe Union Elementary (Santa Barbara),42-69203-0000000,redacted,,redacted,redacted,7.7,,redacted,redacted,8.6,6.8,7.7,1.3,6.4,29,63.3
331,Guerneville Elementary (Sonoma),49-70722-0000000,redacted,,redacted,redacted,23.8,,redacted,42.6,39.5,28,33.3,15.1,18.3,28.5,38.2
332,Gustine Unified (Merced),24-73619-0000000,redacted,redacted,redacted,redacted,16,redacted,redacted,25,17.9,16.8,17.4,4.4,12.9,25.7,56.9
333,Hacienda la Puente Unified (Los Angeles),19-73445-0000000,redacted,79.1,25.9,58,30.1,34.4,65.2,47.6,37.1,38.7,37.9,17.4,20.6,28.2,33.9
334,Hamilton Unified (Glenn),11-76562-0000000,redacted,redacted,redacted,,16.6,,redacted,redacted,18.3,18.3,18.3,4.1,14.2,28,53.7
335,Hanford Elementary (Kings),16-63917-0000000,10.5,34.9,21.1,71.1,28.8,redacted,45.8,47.1,31.3,32.6,32,12.7,19.3,29.5,38.6
336,Hanford Joint Union High (Kings),16-63925-0000000,redacted,64.3,10,redacted,18.4,redacted,redacted,30.5,19.9,25.2,22.5,6.3,16.2,27.3,50.2
337,Happy Camp Union Elementary (Siskiyou),47-70334-0000000,20.8,,,,redacted,,redacted,22.7,25.8,19.4,22.6,4.8,17.7,33.9,43.6
338,Happy Valley Elementary (Santa Cruz),44-69757-0000000,redacted,redacted,,,redacted,,72.7,76.9,73.5,67.6,70.4,29.6,40.9,23.9,5.6
339,Happy Valley Union Elementary (Shasta),45-70011-0000000,30,22.2,redacted,redacted,29,redacted,16.7,36.3,34.9,30.5,32.8,12.6,20.3,33.4,33.7
340,Harmony Union Elementary (Sonoma),49-70730-0000000,redacted,redacted,redacted,,36.8,,60,50.5,41,56.3,48.1,24.7,23.4,31.2,20.8
341,Hart-Ransom Union Elementary (Stanislaus),50-71092-0000000,redacted,55.6,22.2,redacted,28.4,redacted,33.3,38.1,35.8,32.6,34.2,9.9,24.2,33.3,32.5
342,Hawthorne (Los Angeles),19-64592-0000000,38.5,61.1,25.8,57.3,32.1,24.2,36.4,47.7,32.5,31.4,31.9,12.3,19.7,29.4,38.7
343,Hayward Unified (Alameda),01-61192-0000000,20.5,46.7,15.2,45.5,19,18.7,40.3,29.2,23.9,23.3,23.6,8.9,14.7,27.7,48.7
344,Healdsburg Unified (Sonoma),49-75390-0000000,redacted,58.3,redacted,,21.3,redacted,redacted,56.5,35.4,32.9,34.2,13,21.2,30,35.8
345,Heber Elementary (Imperial),13-63131-0000000,,,,,44.9,,redacted,redacted,44.3,45.7,45,14.7,30.3,31.7,23.3
346,Helendale Elementary (San Bernardino),36-67736-0000000,redacted,redacted,19.1,redacted,20.8,redacted,43.5,31.8,28.7,26.3,27.5,8.6,18.9,28.7,43.8
347,Hemet Unified (Riverside),33-67082-0000000,19.5,55.8,9.7,49.5,19.7,23.3,25.4,33.5,23.3,23.6,23.4,7.6,15.8,28.5,48.1
348,Hermosa Beach City Elementary (Los Angeles),19-64600-0000000,redacted,88.6,redacted,redacted,59,redacted,78.3,74.4,74.7,71.7,73.3,42.5,30.8,18.7,8.1
349,Hesperia Unified (San Bernardino),36-75044-0000000,19.4,43.8,9.7,36.4,18,36,12.8,27.8,21.1,21.2,21.2,6.2,15,27.8,51.1
350,Hickman Community Charter (Stanislaus),50-71100-0000000,redacted,68.8,redacted,redacted,43.2,redacted,55.6,52.4,50.5,50.5,50.5,21.9,28.6,27.6,21.9
351,Hillsborough City Elementary (San Mateo),41-68908-0000000,redacted,92.5,redacted,redacted,81.1,redacted,84,78.1,82.6,81.8,82.2,59.9,22.3,12.9,4.8
352,Hilmar Unified (Merced),24-65698-0000000,redacted,redacted,redacted,redacted,10.9,redacted,redacted,26.8,17.6,21.5,19.5,6.3,13.2,30,50.4
353,Hollister (San Benito),35-67470-0000000,15.4,69.6,20,62.5,31,redacted,61.1,51.2,34,36.3,35.1,13.8,21.3,30.6,34.3
354,Holtville Unified (Imperial),13-63149-0000000,,,redacted,,37.3,,45.5,53.9,38.7,39.1,38.9,15.2,23.8,32.2,28.9
355,Hope Elementary (Santa Barbara),42-69211-0000000,,79,redacted,redacted,25.5,redacted,60,73,54.8,58.7,56.7,36.4,20.3,27.1,16.2
356,Hope Elementary (Tulare),54-71944-0000000,,redacted,,,7.7,,redacted,28.1,17.1,12.7,15,2.6,12.4,44.4,40.5
357,Horicon Elementary (Sonoma),49-70763-0000000,redacted,,,,12,,redacted,28.6,18.2,15,16.7,7.1,9.5,35.7,47.6
358,Hornbrook Elementary (Siskiyou),47-70359-0000000,redacted,,,,redacted,,16.7,14.3,7.1,18.2,13.9,8.3,5.6,38.9,47.2
359,Hot Springs Elementary (Tulare),54-71951-0000000,,,,,redacted,,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted
360,Howell Mountain Elementary (Napa),28-66258-0000000,redacted,redacted,redacted,,20.7,,redacted,60,43.3,25,35.2,13,22.2,35.2,29.6
361,Hueneme Elementary (Ventura),56-72462-0000000,18.5,46.7,22.9,47.2,17,29.4,44.6,30.9,20.6,19.4,20,5.9,14,29.7,50.4
362,Hughes-Elizabeth Lakes Union Elementary (Los Angeles),19-64626-0000000,redacted,redacted,,,29.4,,redacted,38.4,44.3,26.9,36.3,8,28.3,39.8,23.9
363,Hughson Unified (Stanislaus),50-75549-0000000,redacted,redacted,redacted,redacted,24.4,redacted,36.4,39.3,31.8,29.7,30.8,9.7,21.1,33.7,35.6
364,Humboldt County Office of Education (Humboldt),12-10124-0000000,redacted,,redacted,,redacted,,redacted,0,0,0,0,0,0,2,98
365,Huntington Beach City Elementary (Orange),30-66530-0000000,53.9,89.9,38.1,67.5,49,64.3,77.4,70.8,68.2,69.7,68.9,39.7,29.2,20.1,11
366,Huntington Beach Union High (Orange),30-66548-0000000,34.5,73.9,31,47.5,30.1,30.4,59.1,54.3,51.1,54.6,52.8,24,28.8,22.6,24.6
367,Hydesville Elementary (Humboldt),12-62885-0000000,,redacted,,,41.7,,redacted,55.9,52.9,55.4,54,18.3,35.7,25.4,20.6
368,"Igo, Ono, Platina Union Elementary (Shasta)",45-70029-0000000,,redacted,redacted,,redacted,redacted,,41.7,45.5,0,20.8,12.5,8.3,33.3,45.8
369,Imperial County Office of Education (Imperial),13-10132-0000000,,,redacted,,0,,,redacted,0,0,0,0,0,5.8,94.2
370,Imperial Unified (Imperial),13-63164-0000000,redacted,61.5,17.4,61.9,37.4,redacted,41.2,53.6,41.3,38,39.7,14.4,25.3,37.8,22.5
371,Indian Diggings Elementary (El Dorado),09-61895-0000000,,,,,redacted,,redacted,27.3,redacted,redacted,20,6.7,13.3,40,40
372,Indian Springs Elementary (Shasta),45-70037-0000000,,,,,,,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted
373,Inglewood Unified (Los Angeles),19-64634-0000000,24.2,23.5,15.4,35.3,20.5,10.5,20,29,18.6,18.7,18.6,4.8,13.8,27.8,53.6
374,Inyo County Office of Education (Inyo),14-10140-0000000,redacted,redacted,redacted,,0,,redacted,redacted,0,0,0,0,0,0,100
375,Irvine Unified (Orange),30-73650-0000000,59,87.4,34.8,71.4,46.3,53.5,75.6,66.4,74.5,74,74.3,50.5,23.7,16.3,9.4
376,Island Union Elementary (Kings),16-63933-0000000,,,redacted,redacted,39.5,,36.4,61.4,54.9,47.3,51.3,18.9,32.4,28.7,20
377,Jacoby Creek Elementary (Humboldt),12-62893-0000000,redacted,redacted,redacted,redacted,62.2,,65.7,69.7,69.1,67.8,68.4,40.2,28.2,22.3,9.3
378,Jamestown Elementary (Tuolumne),55-72363-0000000,redacted,,redacted,redacted,26.3,,redacted,25,25.5,26.5,25.9,6.2,19.7,33.2,40.9
379,Jamul-Dulzura Union Elementary (San Diego),37-68155-0000000,redacted,redacted,redacted,redacted,28.6,,57.1,44.4,39.8,30.6,36.1,13.1,23,28.8,35.1
380,Janesville Union Elementary (Lassen),18-64105-0000000,redacted,redacted,,,21.1,,redacted,29.3,27.6,26,26.9,7.1,19.8,32.6,40.5
381,Jefferson Elementary (San Benito),35-67488-0000000,redacted,54.2,29.1,51.9,35.1,37.5,53.8,53.2,44.6,45.8,45.2,17.7,27.5,31.1,23.7
382,Jefferson Elementary (San Mateo),41-68916-0000000,,,,,redacted,,,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted
383,Jefferson Elementary (San Joaquin),39-68544-0000000,redacted,60.2,12.5,41.7,20.7,27.3,45.4,27.8,36.5,36.1,36.3,14.4,21.9,30.2,33.5
384,Jefferson Union High (San Mateo),41-68924-0000000,redacted,72.8,0,41.2,17.2,redacted,33.3,40.6,36.5,41.7,39,17.6,21.4,22.7,38.2
385,John Swett Unified (Contra Costa),07-61697-0000000,redacted,40.4,8.3,40,20.8,redacted,31.1,28.7,24.8,25.3,25,7.2,17.9,28.1,46.9
386,Johnstonville Elementary (Lassen),18-64113-0000000,redacted,redacted,redacted,,9.5,,redacted,19.3,18,15.6,16.9,3.5,13.4,43,40.1
387,Julian Union Elementary (San Diego),37-68163-0000000,25.9,redacted,,redacted,37.3,redacted,redacted,52.6,44.1,45.2,44.6,19.1,25.5,28.4,27
388,Julian Union High (San Diego),37-68171-0000000,redacted,,,,7.7,,redacted,14.3,20.8,5.6,14.3,2.4,11.9,42.9,42.9
389,Junction City Elementary (Trinity),53-71738-0000000,redacted,,,,redacted,redacted,redacted,51.7,50,41.7,45.7,19.6,26.1,37,17.4
390,Junction Elementary (Shasta),45-70045-0000000,redacted,,redacted,,40,,redacted,53.5,48.9,55.6,51.9,21,30.9,28.4,19.8
391,Junction Elementary (Siskiyou),47-70367-0000000,redacted,,,,redacted,,redacted,redacted,16.7,redacted,29.4,17.7,11.8,23.5,47.1
392,Jurupa Unified (Riverside),33-67090-0000000,20,50.5,16.5,57.1,22.9,28.1,40.3,37.8,23.7,25.5,24.6,7.4,17.2,29.7,45.7
393,Kashia Elementary (Sonoma),49-70888-0000000,redacted,,,,,redacted,redacted,,redacted,redacted,redacted,redacted,redacted,redacted,redacted
394,Kelseyville Unified (Lake),17-64014-0000000,19.2,redacted,redacted,redacted,13.8,redacted,27.6,29.9,22.5,21.9,22.2,7.2,15,31.8,46
395,Kentfield Elementary (Marin),21-65334-0000000,redacted,76.3,redacted,redacted,43.6,redacted,82.5,77.2,71.6,73.6,72.5,42.5,30,18.4,9.1
396,Kenwood (Sonoma),49-70789-0000000,,redacted,redacted,,41.7,,redacted,63.8,64.6,56.8,60.9,34.8,26.1,32.6,6.5
397,Keppel Union Elementary (Los Angeles),19-64642-0000000,redacted,redacted,15.7,redacted,20.7,redacted,36.8,24.7,22.7,19.9,21.4,6.8,14.6,28.9,49.7
398,Kerman Unified (Fresno),10-73999-0000000,33.3,45.7,10.5,redacted,26.8,,36.4,45.6,26.5,32.4,29.4,9.3,20.1,31.2,39.4
399,Kern County Superintendent of Schools (Kern),15-10157-0000000,23.1,18.2,0,redacted,6.4,redacted,39.3,16,9.2,13.2,10.7,3.4,7.4,14.6,74.7
400,Kern High (Kern),15-63529-0000000,22.6,44.4,11.5,51.1,17,16.7,30,31.3,19.9,22.7,21.3,6,15.4,23.5,55.2
401,Kernville Union Elementary (Kern),15-63545-0000000,11.1,redacted,redacted,redacted,23.5,,redacted,21,25,17.7,21.2,6,15.2,28.4,50.4
402,Keyes Union (Stanislaus),50-71134-0000000,redacted,54.6,,,28.2,redacted,redacted,39.8,36.4,30.4,33.5,9.7,23.8,33.6,32.9
403,King City Union (Monterey),27-66050-0000000,redacted,15.4,redacted,redacted,15.7,,redacted,41.1,17.7,17.2,17.4,4.5,13,27.7,54.8
404,Kings Canyon Joint Unified (Fresno),10-62265-0000000,16.7,42.9,redacted,60,30.6,redacted,46.2,48.4,31.3,34,32.6,11.9,20.7,29.9,37.6
405,Kings County Office of Education (Kings),16-10165-0000000,redacted,,redacted,,0,,redacted,redacted,0,redacted,0,0,0,0,100
406,Kings River Union Elementary (Tulare),54-71969-0000000,,redacted,redacted,,30.5,,redacted,61.9,39,26.1,32.9,17.5,15.4,28.1,39
407,Kings River-Hardwick Union Elementary (Kings),16-63941-0000000,redacted,redacted,redacted,redacted,46.6,,68.8,69.6,61.8,60.8,61.3,30.8,30.6,24.1,14.6
408,Kingsburg Elementary Charter (Fresno),10-62240-0000000,redacted,65.6,redacted,redacted,30.6,redacted,64.7,48.9,37,39.3,38.1,15.8,22.3,31.6,30.3
409,Kingsburg Joint Union High (Fresno),10-62257-0000000,,41.7,redacted,redacted,29.8,,redacted,54.3,38.6,37.4,38.1,11.6,26.4,26.1,35.9
410,Kirkwood Elementary (Tehama),52-71555-0000000,redacted,,,,47.1,,redacted,53.2,53.1,51.4,52.2,31.3,20.9,29.9,17.9
411,Kit Carson Union Elementary (Kings),16-63958-0000000,,,redacted,,13.2,redacted,redacted,28.9,14,23.8,18.6,4.8,13.8,35.7,45.7
412,Klamath River Union Elementary (Siskiyou),47-70375-0000000,redacted,,,,redacted,,redacted,redacted,redacted,redacted,27.3,0,27.3,45.5,27.3
413,Klamath-Trinity Joint Unified (Humboldt),12-62901-0000000,9.6,redacted,redacted,,12.1,redacted,redacted,30,12.4,10,11.2,2.2,9,19,69.8
414,Kneeland Elementary (Humboldt),12-62919-0000000,redacted,redacted,,,,,redacted,41.7,redacted,redacted,27.8,11.1,16.7,27.8,44.4
415,Knights Ferry Elementary (Stanislaus),50-71142-0000000,,,redacted,redacted,redacted,,redacted,60.8,56.8,56.7,56.7,29.9,26.9,28.4,14.9
416,Knightsen Elementary (Contra Costa),07-61705-0000000,,redacted,redacted,redacted,24.3,redacted,41.2,44.5,33.7,38,35.8,13.6,22.2,31.7,32.5
417,Konocti Unified (Lake),17-64022-0000000,4.4,redacted,2.1,redacted,6.8,redacted,9.8,10.3,8.5,8.2,8.4,1.6,6.7,26.9,64.7
418,La Habra City Elementary (Orange),30-66563-0000000,redacted,59.7,20.6,56,24.4,redacted,60,42.3,26.5,27.6,27,9.1,17.9,30.5,42.5
419,La Honda-Pescadero Unified (San Mateo),41-68940-0000000,,,,,21.3,,redacted,39.2,25.4,28,26.8,13.4,13.4,30.5,42.7
420,La Mesa-Spring Valley (San Diego),37-68197-0000000,25,59.3,20.9,59.1,28.8,30,44,57.7,39.3,38.3,38.8,17.2,21.6,29,32.2
421,Lafayette Elementary (Contra Costa),07-61713-0000000,redacted,87.4,55.6,84.4,73.1,redacted,86.6,81.6,82.3,80.5,81.4,54,27.3,14.1,4.5
422,Laguna Beach Unified (Orange),30-66555-0000000,redacted,87.8,55,81.8,57.7,redacted,85.1,72.1,72.1,71.9,72,43.7,28.3,16.6,11.4
423,Laguna Joint Elementary (Marin),21-65342-0000000,,,,,redacted,,redacted,,redacted,redacted,redacted,redacted,redacted,redacted,redacted
424,Lagunita Elementary (Monterey),27-66076-0000000,redacted,,,,43.5,,redacted,42.4,37.5,51.6,44.4,12.7,31.8,39.7,15.9
425,Lagunitas Elementary (Marin),21-65359-0000000,,redacted,redacted,redacted,13.3,redacted,redacted,35.2,39,13.5,26.9,6.4,20.5,35.9,37.2
426,Lake County Office of Education (Lake),17-10173-0000000,redacted,redacted,,,redacted,,redacted,redacted,0,redacted,0,0,0,0,100
427,Lake Elementary (Glenn),11-62596-0000000,redacted,,redacted,,36.7,,,49.4,48.2,43.6,45.9,22,23.9,27.5,26.6
428,Lake Elsinore Unified (Riverside),33-75176-0000000,14.8,55.3,21.2,53.8,21.9,22.2,42.4,37.9,28.4,28,28.2,9.7,18.5,30.9,41
429,Lake Tahoe Unified (El Dorado),09-61903-0000000,redacted,56.5,redacted,28.4,17.1,redacted,48.9,49.8,33.2,35.5,34.3,12.7,21.6,30.5,35.3
430,Lakeport Unified (Lake),17-64030-0000000,7.5,redacted,21.4,redacted,22,redacted,34.8,33.7,28.7,27,27.9,10.3,17.7,34.3,37.8
431,Lakeside Joint (Santa Clara),43-69492-0000000,,redacted,,,redacted,,redacted,69.2,65,76.2,70.7,46.3,24.4,24.4,4.9
432,Lakeside Union (Kern),15-63552-0000000,redacted,35.7,17.7,redacted,24.5,redacted,13.3,29.7,30.2,22.7,26.5,7.4,19.1,32.1,41.4
433,Lakeside Union Elementary (Kings),16-63966-0000000,,27.3,redacted,,23,,redacted,36.4,28.3,17.3,23.2,8,15.2,25.5,51.3
434,Lakeside Union Elementary (San Diego),37-68189-0000000,27.3,58,29.9,56.3,27.6,33.3,45.1,44.9,41.1,37.5,39.4,15.6,23.7,31.2,29.5
435,Lammersville Joint Unified (San Joaquin),39-76760-0000000,64.3,77.4,25.3,61.1,36.7,26.7,51.2,54,56.3,57.5,56.9,30.5,26.3,25.6,17.6
436,Lamont Elementary (Kern),15-63560-0000000,,redacted,redacted,,19.9,redacted,redacted,19.2,20.4,19.3,19.8,5.6,14.2,28.9,51.3
437,Lancaster Elementary (Los Angeles),19-64667-0000000,12.1,43.2,8.9,52.4,18.1,17.7,22.7,27.5,17.6,17.6,17.6,5.1,12.5,25.8,56.7
438,Larkspur-Corte Madera (Marin),21-65367-0000000,,65.9,redacted,redacted,44.3,redacted,71.7,74.2,70.4,66.7,68.7,41,27.6,20.8,10.6
439,Las Lomitas Elementary (San Mateo),41-68957-0000000,redacted,94.8,redacted,redacted,45.7,redacted,89.9,84.8,82.1,80.8,81.4,59.3,22.1,11.5,7.1
440,Las Virgenes Unified (Los Angeles),19-64683-0000000,53.3,78.1,36.8,71.4,45,redacted,60.4,61.4,61.5,58.9,60.2,30.8,29.4,24.3,15.5
441,Lassen County Office of Education (Lassen),18-10181-0000000,redacted,,,,,redacted,,redacted,redacted,,redacted,redacted,redacted,redacted,redacted
442,Lassen Union High (Lassen),18-64139-0000000,17.7,,redacted,redacted,7.1,redacted,redacted,32.1,28.4,23.8,26.2,9.3,16.9,29.1,44.8
443,Lassen View Union Elementary (Tehama),52-71563-0000000,redacted,,redacted,,39.5,,redacted,56.1,54.6,48,51.3,19.1,32.2,30.2,18.6
444,Laton Joint Unified (Fresno),10-62281-0000000,,redacted,redacted,,17.3,,redacted,42.9,12.6,27.4,19.8,4.4,15.4,29.6,50.6
445,Latrobe (El Dorado),09-61911-0000000,redacted,redacted,,redacted,45.5,,redacted,67.6,71.9,51.6,65.3,39,26.3,25.3,9.5
446,Lawndale Elementary (Los Angeles),19-64691-0000000,redacted,70.5,27.2,53.1,33.7,40,42.7,50.7,34.8,36.9,35.8,13.7,22.1,32.1,32.1
447,Laytonville Unified (Mendocino),23-73916-0000000,5,redacted,,,8.6,,23.1,31.7,25.2,22.5,23.9,7.2,16.8,29.7,46.4
448,Le Grand Union Elementary (Merced),24-65722-0000000,,redacted,redacted,,21.5,,redacted,42.9,19.7,27.9,23.5,4.9,18.6,34.9,41.7
449,Le Grand Union High (Merced),24-65730-0000000,,,,,19.8,,,redacted,23.4,13.2,18.8,2.6,16.2,34.2,47
450,Leggett Valley Unified (Mendocino),23-75218-0000000,redacted,,redacted,,redacted,redacted,redacted,35.4,35.3,29.6,32.8,14.8,18,36.1,31.2
451,Lemon Grove (San Diego),37-68205-0000000,6.7,59.8,29.2,69.4,29.3,37.5,38.6,45.6,33.6,32.8,33.2,11.6,21.6,29.9,36.9
452,Lemoore Union Elementary (Kings),16-63974-0000000,0,54.2,19.1,63,30.2,redacted,43.3,43,33.3,34.7,34,11.3,22.7,29.9,36.1
453,Lemoore Union High (Kings),16-63982-0000000,18.8,redacted,9.1,34.6,11.5,redacted,redacted,34.5,20.2,18.5,19.3,5.9,13.4,22.6,58
454,Lennox (Los Angeles),19-64709-0000000,redacted,45.5,29,redacted,28.8,22.2,redacted,redacted,29.4,28.5,29,8.9,20.1,31,40.1
455,Lewiston Elementary (Trinity),53-71746-0000000,redacted,redacted,,,redacted,,,40,35.3,35.7,35.5,12.9,22.6,22.6,41.9
456,Liberty Elementary (Tulare),54-71985-0000000,redacted,redacted,redacted,redacted,32.3,,redacted,39.6,38.2,33.9,36.2,16,20.2,30.5,33.3
457,Liberty Elementary (Sonoma),49-70797-0000000,,,,,77.3,,redacted,85,83.9,83.3,83.6,50.9,32.8,15.5,0.9
458,Liberty Union High (Contra Costa),07-61721-0000000,27.3,58,11.2,49.5,21.1,58.3,43,39.3,29.6,34,31.9,8,24,30.7,37.4
459,Lincoln Elementary (Marin),21-65375-0000000,,,,,redacted,,,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted
460,Lincoln Unified (San Joaquin),39-68569-0000000,17.7,51.3,20.2,46.4,24.4,22.6,34.2,44.7,32.5,31.6,32.1,12.6,19.5,28.6,39.3
461,Linden Unified (San Joaquin),39-68577-0000000,29.4,67.9,redacted,redacted,23.9,redacted,33.3,42.6,30.7,32.6,31.6,12.3,19.3,31.3,37.1
462,Lindsay Unified (Tulare),54-71993-0000000,redacted,21.3,redacted,redacted,19.7,,redacted,17.9,19.6,19.8,19.7,5.3,14.4,24.7,55.6
463,Linns Valley-Poso Flat Union (Kern),15-63586-0000000,,,,,,,,14.3,redacted,redacted,14.3,7.1,7.1,42.9,42.9
464,Little Lake City Elementary (Los Angeles),19-64717-0000000,redacted,65.5,29.3,51.6,39.2,redacted,26.3,45.1,40.5,38.9,39.7,16.6,23.2,32.4,27.9
465,Little Shasta Elementary (Siskiyou),47-70383-0000000,redacted,,,,,,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted
466,Live Oak Elementary (Santa Cruz),44-69765-0000000,63.6,59.1,34.3,52.4,27,redacted,redacted,48.9,36.6,36.1,36.4,15.2,21.2,31.2,32.4
467,Live Oak Unified (Sutter),51-71399-0000000,redacted,42.1,redacted,redacted,28.8,redacted,redacted,40.8,35.2,31.7,33.5,13.6,19.9,30.3,36.2
468,Livermore Valley Joint Unified (Alameda),01-61200-0000000,28.6,71.8,27.6,55.2,30.9,41.7,62.1,56.5,49.7,49.5,49.6,23,26.6,26.7,23.7
469,Livingston Union (Merced),24-65748-0000000,redacted,39.2,redacted,redacted,19.7,redacted,redacted,30,23.4,21.1,22.3,6.4,15.9,28.6,49.1
470,Lodi Unified (San Joaquin),39-68585-0000000,36.4,39.1,15.8,50.2,24.7,26.6,33.2,44.6,32.1,32,32.1,13,19.1,28.3,39.7
471,Loleta Union Elementary (Humboldt),12-62927-0000000,0,,,,0,,redacted,16.7,8.3,0,3.5,0,3.5,31.6,64.9
472,Loma Prieta Joint Union Elementary (Santa Clara),43-69500-0000000,redacted,70,redacted,redacted,58.8,redacted,71.8,70.2,68.1,71.2,69.6,42.4,27.2,21.5,8.9
473,Lompoc Unified (Santa Barbara),42-69229-0000000,33.3,31,21.5,49.1,20.4,41.2,40,44.8,28.6,26.4,27.5,8.9,18.7,30.4,42.1
474,Lone Pine Unified (Inyo),14-63289-0000000,37,redacted,redacted,,22,,redacted,42.1,30.3,31.9,31,7,24.1,36.7,32.3
475,Long Beach Unified (Los Angeles),19-64725-0000000,29.4,58.2,22.6,57.5,31.6,33,59,64.2,37.8,39.7,38.8,17.1,21.7,28.1,33.1
476,Loomis Union Elementary (Placer),31-66845-0000000,44,86.5,redacted,63.6,53.3,redacted,64.7,63.2,62.2,62,62.1,29.6,32.5,25.7,12.2
477,Los Alamitos Unified (Orange),30-73924-0000000,50,89.7,44.7,81.3,63.5,75,77.3,74.2,73,73.2,73.1,45.7,27.4,17.8,9.1
478,Los Angeles County Office of Education (Los Angeles),19-10199-0000000,redacted,61.8,5.5,38.5,10.9,redacted,63.2,39,17.1,19.8,18.1,5.8,12.3,15.5,66.4
479,Los Angeles Unified (Los Angeles),19-64733-0000000,31.6,70.3,18.9,55,23.7,37.7,56.3,57.3,29.8,29.9,29.9,12.4,17.5,26.6,43.5
480,Los Banos Unified (Merced),24-65755-0000000,14.3,50,8.3,40.5,21,10.4,37.2,33.7,22.7,22.9,22.8,7.1,15.7,29.9,47.3
481,Los Gatos Union Elementary (Santa Clara),43-69526-0000000,70.6,86.4,75,63.6,59.4,redacted,80,76,77.4,76.1,76.7,49.1,27.7,16.3,6.9
482,Los Gatos-Saratoga Joint Union High (Santa Clara),43-69534-0000000,,90.3,redacted,redacted,58.5,redacted,70.3,64.1,70,75.3,72.5,43.9,28.6,15,12.6
483,Los Molinos Unified (Tehama),52-71571-0000000,redacted,redacted,,,21.2,,15.4,31.8,27.8,23.5,25.8,5.2,20.6,31.4,42.9
484,Los Nietos (Los Angeles),19-64758-0000000,redacted,redacted,redacted,redacted,28.7,redacted,redacted,32,28.6,28.7,28.7,10.4,18.3,31.3,40.1
485,Los Olivos Elementary (Santa Barbara),42-69245-0000000,,redacted,,,47.8,,redacted,59.2,55.6,55.8,55.7,29.3,26.4,30.2,14.2
486,Lost Hills Union Elementary (Kern),15-63594-0000000,,redacted,redacted,,10.4,,,,10.5,10.2,10.3,1.1,9.2,22.4,67.3
487,Lowell Joint (Los Angeles),19-64766-0000000,redacted,78.6,45.7,57.1,49.4,redacted,64.3,64.9,53.9,54.7,54.3,26.2,28.1,28.3,17.4
488,Lucerne Elementary (Lake),17-64048-0000000,redacted,redacted,redacted,,14.3,,redacted,17.6,17.1,12.9,15.2,4.4,10.8,31.7,53.2
489,Lucerne Valley Unified (San Bernardino),36-75051-0000000,redacted,redacted,redacted,redacted,14.6,redacted,redacted,15.6,13.5,17.9,15.6,5.1,10.5,32.9,51.5
490,Lucia Mar Unified (San Luis Obispo),40-68759-0000000,20.7,68.5,31.8,45.8,22.7,38.5,50,49.3,38.1,36.8,37.5,15.1,22.4,31,31.5
491,Luther Burbank (Santa Clara),43-69542-0000000,,redacted,redacted,redacted,28.6,redacted,redacted,redacted,29.9,30.8,30.3,9,21.3,29.7,39.9
492,Lynwood Unified (Los Angeles),19-64774-0000000,,41.7,12.5,redacted,22.3,20,redacted,17.9,21.7,22,21.9,6.2,15.6,29.1,49.1
493,Madera County Office of Education (Madera),20-10207-0000000,redacted,,redacted,,0.5,,redacted,0,0,1,0.4,0.4,0,8.1,91.5
