,District Name,CDS Number (District),American Indian or Alaska Native (CAASPP-Math Levels 3 and 4) (District),Asian (CAASPP-Math Levels 3 and 4) (District),Black or African American (CAASPP-Math Levels 3 and 4) (District),Filipino (CAASPP-Math Levels 3 and 4) (District),Hispanic or Latino (CAASPP-Math Levels 3 and 4) (District),Native Hawaiian or Pac Islandr (CAASPP-Math Levels 3 and 4) (District),Two or More Races (CAASPP-Math Levels 3 and 4) (District),White (CAASPP-Math Levels 3 and 4) (District),Males (CAASPP-Math Levels 3 and 4) (District),Females (CAASPP-Math Levels 3 and 4) (District),CAASPP-Math Standard Exceeded or Met (Levels 3 and 4) (District),CAASPP-Math Standard Exceeded (Level 4) (District),CAASPP-Math Standard Met (Level 3) (District),CAASPP-Math Standard Nearly Met (Level 2) (District),CAASPP-Math Standard Not Met (Level 1) (District)
268,Feather Falls Union Elementary (Butte),04-61440-0000000,redacted,,redacted,,redacted,,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted
269,Ferndale Unified (Humboldt),12-75374-0000000,redacted,redacted,,,12.1,redacted,redacted,38.6,31.5,34.1,32.7,8.7,24,33.1,34.2
270,Fieldbrook Elementary (Humboldt),12-62794-0000000,redacted,redacted,redacted,,redacted,,53.9,50.8,50,47.8,48.9,18.9,30,42.2,8.9
271,Fillmore Unified (Ventura),56-72454-0000000,redacted,redacted,redacted,redacted,15.2,,46.2,42.6,17.4,16.9,17.2,4,13.2,26.5,56.4
272,Firebaugh-Las Deltas Unified (Fresno),10-73809-0000000,,redacted,redacted,,22.6,,,18.5,22.9,21.6,22.2,4.2,18,30.6,47.2
273,Flournoy Union Elementary (Tehama),52-71530-0000000,,,,,redacted,,,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted
274,Folsom-Cordova Unified (Sacramento),34-67330-0000000,36,80.5,20,67.4,29.4,27.5,47.2,55,52.2,50.9,51.6,27.3,24.3,24.8,23.7
275,Fontana Unified (San Bernardino),36-67710-0000000,11.8,52.3,13.7,58,18.4,19.6,29.5,30.1,19.7,19.2,19.5,5.8,13.7,30.6,49.9
276,Foresthill Union Elementary (Placer),31-66837-0000000,redacted,redacted,redacted,redacted,29.7,redacted,redacted,41.3,42.9,33.3,37.8,12,25.7,35.7,26.6
277,Forestville Union Elementary (Sonoma),49-70680-0000000,redacted,redacted,,,13.3,redacted,11.1,34.3,25.5,29.2,27.4,8.4,19,31.4,41.2
278,Forks of Salmon Elementary (Siskiyou),47-70292-0000000,,,,,,,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted
279,Fort Bragg Unified (Mendocino),23-65565-0000000,redacted,redacted,redacted,redacted,18,,26.5,29.7,24.2,24.4,24.3,7.3,17.1,31.6,44.1
280,Fort Ross Elementary (Sonoma),49-70698-0000000,,,,,redacted,,,redacted,redacted,redacted,38.5,0,38.5,30.8,30.8
281,Fort Sage Unified (Lassen),18-75036-0000000,redacted,,redacted,,8.3,redacted,7.7,16.8,14.5,15,14.8,3.5,11.3,31,54.2
282,Fortuna Elementary (Humboldt),12-76802-0000000,21.1,redacted,redacted,redacted,14.8,,28.6,32.2,23.9,25,24.5,6.9,17.6,32.7,42.8
283,Fortuna Union High (Humboldt),12-62810-0000000,redacted,redacted,,,11.8,redacted,20,26.7,19.6,26.9,23.4,5.2,18.2,29,47.6
284,Fountain Valley Elementary (Orange),30-66498-0000000,58.3,83.7,33.3,76.7,53,27.3,74,65.6,68.9,72,70.4,43.3,27.1,20.3,9.2
285,Fowler Unified (Fresno),10-62158-0000000,redacted,52.1,redacted,,23.6,,redacted,53.7,29,29.6,29.3,10.6,18.7,30.2,40.5
286,Franklin Elementary (Sutter),51-71381-0000000,redacted,70,redacted,,40.5,,63,67.7,60.2,61.7,60.9,27.5,33.3,23.9,15.3
287,Franklin-McKinley Elementary (Santa Clara),43-69450-0000000,redacted,65.8,26,52.2,22.4,26.3,51.9,54.9,39.9,38.9,39.4,19.7,19.7,26.2,34.4
288,Fremont Unified (Alameda),01-61176-0000000,53.2,87.3,27.7,61.7,31.4,34,65.5,54.9,71,72,71.5,52,19.5,15.2,13.3
